9185000, Heave Mean: 0.000, Heave Variance: 0.000, Elements: -0.055
9245356, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000
9245356, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000
9385000, Heave Mean: -0.055, Heave Variance: 0.000, Elements: -0.055 -0.054
9445356, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000
9445356, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000
9585000, Heave Mean: -0.054, Heave Variance: 0.000, Elements: -0.055 -0.054 -0.053
9645359, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000
9645359, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000
9785000, Heave Mean: -0.054, Heave Variance: 0.000, Elements: -0.055 -0.054 -0.053 -0.053
9845357, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000
9845357, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000
9985000, Heave Mean: -0.053, Heave Variance: 0.000, Elements: -0.055 -0.054 -0.053 -0.053 -0.052
10045363, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000
10045363, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000
10185000, Heave Mean: -0.053, Heave Variance: 0.000, Elements: -0.055 -0.054 -0.053 -0.053 -0.052 -0.052
10245355, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
10245355, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
10385000, Heave Mean: -0.052, Heave Variance: 0.000, Elements: -0.054 -0.053 -0.053 -0.052 -0.052 -0.051
10445355, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
10445355, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
10585000, Heave Mean: -0.052, Heave Variance: 0.000, Elements: -0.053 -0.053 -0.052 -0.052 -0.051 -0.050
10675558, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000
10675558, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000
10785000, Heave Mean: -0.051, Heave Variance: 0.000, Elements: -0.053 -0.052 -0.052 -0.051 -0.050 -0.050
10875559, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000
10875559, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000
10985000, Heave Mean: -0.051, Heave Variance: 0.000, Elements: -0.052 -0.052 -0.051 -0.050 -0.050 -0.049
11075572, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000
11075572, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000
11185000, Heave Mean: -0.050, Heave Variance: 0.000, Elements: -0.052 -0.051 -0.050 -0.050 -0.049 -0.048
11275558, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000
11275558, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000
11385000, Heave Mean: -0.049, Heave Variance: 0.000, Elements: -0.051 -0.050 -0.050 -0.049 -0.048 -0.048
11475559, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000
11475559, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000
11585000, Heave Mean: -0.049, Heave Variance: 0.000, Elements: -0.050 -0.050 -0.049 -0.048 -0.048 -0.048
11675559, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000
11675559, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000
11785000, Heave Mean: -0.048, Heave Variance: 0.000, Elements: -0.050 -0.049 -0.048 -0.048 -0.048 -0.047
11875559, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
11875559, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
11985000, Heave Mean: -0.048, Heave Variance: 0.000, Elements: -0.049 -0.048 -0.048 -0.048 -0.047 -0.047
12075571, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
12075571, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
12185000, Heave Mean: -0.047, Heave Variance: 0.000, Elements: -0.048 -0.048 -0.048 -0.047 -0.047 -0.046
12275559, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000
12275559, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000
12385000, Heave Mean: -0.047, Heave Variance: 0.000, Elements: -0.048 -0.048 -0.047 -0.047 -0.046 -0.046
12475559, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
12475559, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
12585000, Heave Mean: -0.047, Heave Variance: 0.000, Elements: -0.048 -0.047 -0.047 -0.046 -0.046 -0.046
12675559, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
12675559, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
12785000, Heave Mean: -0.046, Heave Variance: 0.000, Elements: -0.047 -0.047 -0.046 -0.046 -0.046 -0.045
12875559, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
12875559, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
12985000, Heave Mean: -0.046, Heave Variance: 0.000, Elements: -0.047 -0.046 -0.046 -0.046 -0.045 -0.045
13075572, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000
13075572, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000
13185000, Heave Mean: -0.046, Heave Variance: 0.000, Elements: -0.046 -0.046 -0.046 -0.045 -0.045 -0.045
13275559, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
13275559, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
13385000, Heave Mean: -0.045, Heave Variance: 0.000, Elements: -0.046 -0.046 -0.045 -0.045 -0.045 -0.045
13475559, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
13475559, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
13585000, Heave Mean: -0.045, Heave Variance: 0.000, Elements: -0.046 -0.045 -0.045 -0.045 -0.045 -0.045
13675559, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
13675559, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
13785000, Heave Mean: -0.045, Heave Variance: 0.000, Elements: -0.045 -0.045 -0.045 -0.045 -0.045 -0.045
13875559, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
13875559, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
